,날짜,외국인순매수,전월대비 등락률
195,2021 04,3856,0.028235263374512497
196,2021 05,-84911,0.017808924157999385
197,2021 06,-7000,0.028952033758645586
198,2021 07,-50722,-0.028622735600664813
199,2021 08,-62400,-0.000952434484998433
200,2021 09,10935,-0.04077492678017167
201,2021 10,-38730,-0.031979718588903985
202,2021 11,25787,-0.04432318526397984
203,2021 12,33524,0.0
204,2022 01,-18614,0.0
205,2022 02,8065,-0.049253084702061765
206,2022 03,-50908,0.02166213442601096
207,2022 04,-39098,-0.023403985277319444
